Wǒ,I,我,,,,
nǐ,you,你,,,,
tā,he,他,,,,
tā,she,她,,,,
tā,it,它,,,,
,,,,,,
nín,you,您,polite way,,,
,,,,,,
wǒmen,we,我们,,,,
nǐmen,you guys,你们,,,,
tāmen,they,他们,,,,
nín men,you (plural),您们,,,,
zǎoshang,morning,早上,5:00-9:00,,,
shàngwǔ,morning,上午,8:00-12:00,,,
zhōngwǔ,noon,中午,11:00-13:00,,,
xiàwǔ,afternoon,下午,13:00-18:00,,,
wǎnshàng,at night,晚上,18:00-24:00,,,
,,,,,,
bù,not/no,不,for now and the future,,,
méi,not/no,没,for the past,,,
,,,,,,
zài,again,再,for now and the future,,,
yòu,again,又,for the past,,,
nĭ hăo	,Hello,你好,,,,
nín hăo,Hello (polite),您好,,,,
nĭ men hăo,Hello (plural),你们好,,,,
zài jiàn,Goodbye,再见,(again see),,,
lăo shī hăo,Hello teacher,老师好,,,,
zăo shang hăo,Good morning,早上好	,greeting,,,
wăn shang hăo,Good evening,晚上好,greeting,,,
báibái	,Bye,拜拜,,,,
xiè xie nĭ ,thank you,谢谢你,,,,
bù kè qi ,You are welcome,不客气,(no guest-like),,,
duì bu qĭ	,Sorry,对不起	,(feel guilty) ,,,
méi guān xi,No problem,没关系,,,,
xiè xie,Thanks,谢谢,,,,
bù xiè,Not at all,不谢,,,,
bù hăo yì si,Sorry/Excuse me,不好意思,"(softer, feel embarrassed)",,,
méi shì,It’s nothing,没事,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
